                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.32799,                0.48367,                      1,                 1.2661,                0.07033,              0.0032967,              0.0032967
                      1,                0.30922,                0.46327,                      1,                  1.249,               0.040198,              0.0064988,              0.0064988
                      2,                0.27972,                0.65918,                      1,                 1.1584,              0.0099351,              0.0095688,              0.0095688
                      3,                0.26072,                0.48776,                      1,                 1.1756,               0.009406,               0.009406,               0.009406
                      4,                0.22412,                0.82245,                      1,                 1.0018,               0.009406,               0.009406,               0.009406
                      5,                0.19867,                0.75714,                      1,                 1.0174,               0.009208,               0.009208,               0.009208
                      6,                0.17415,                0.62653,                      1,                  1.075,                0.00901,                0.00901,                0.00901
                      7,                0.15985,                0.92041,                      1,                0.85229,               0.008812,               0.008812,               0.008812
                      8,                0.14757,                0.89796,                      1,                0.86597,               0.008614,               0.008614,               0.008614
                      9,                0.13735,                0.87551,                      1,                0.88727,               0.008416,               0.008416,               0.008416
                     10,                0.12371,                0.91633,                      1,                0.84113,               0.008218,               0.008218,               0.008218
                     11,                0.12201,                0.91633,                      1,                0.82043,                0.00802,                0.00802,                0.00802
                     12,                0.11414,                0.90408,                      1,                0.84564,               0.007822,               0.007822,               0.007822
                     13,                0.11722,                0.91837,                      1,                0.83813,               0.007624,               0.007624,               0.007624
                     14,                0.10484,                0.94286,                      1,                0.79761,               0.007426,               0.007426,               0.007426
                     15,                0.09371,                0.93673,                      1,                0.80823,               0.007228,               0.007228,               0.007228
                     16,                0.11148,                0.94286,                      1,                0.80383,                0.00703,                0.00703,                0.00703
                     17,                0.09158,                0.93878,                      1,                0.79486,               0.006832,               0.006832,               0.006832
                     18,                0.09114,                0.92449,                      1,                0.80695,               0.006634,               0.006634,               0.006634
                     19,                 0.0887,                0.93061,                      1,                0.80737,               0.006436,               0.006436,               0.006436
                     20,                0.08579,                0.95714,                      1,                 0.7948,               0.006238,               0.006238,               0.006238
                     21,                0.07566,                0.95102,                      1,                0.77148,                0.00604,                0.00604,                0.00604
                     22,                0.07197,                0.93265,                      1,                0.80646,               0.005842,               0.005842,               0.005842
                     23,                0.07854,                0.94898,                      1,                 0.7803,               0.005644,               0.005644,               0.005644
                     24,                0.08455,                0.92449,                      1,                0.81781,               0.005446,               0.005446,               0.005446
                     25,                0.06668,                0.96122,                      1,                0.76709,               0.005248,               0.005248,               0.005248
                     26,                0.07903,                 0.9551,                      1,                0.76288,                0.00505,                0.00505,                0.00505
                     27,                0.06921,                0.96122,                      1,                0.76318,               0.004852,               0.004852,               0.004852
                     28,                 0.0709,                0.97143,                      1,                 0.7572,               0.004654,               0.004654,               0.004654
                     29,                0.06821,                0.96327,                      1,                 0.7619,               0.004456,               0.004456,               0.004456
                     30,                0.06306,                0.97959,                      1,                0.77045,               0.004258,               0.004258,               0.004258
                     31,                0.06057,                0.96122,                      1,                0.76355,                0.00406,                0.00406,                0.00406
                     32,                0.05687,                0.98571,                      1,                0.74677,               0.003862,               0.003862,               0.003862
                     33,                0.05754,                0.98367,                      1,                0.74902,               0.003664,               0.003664,               0.003664
                     34,                0.05309,                0.97551,                      1,                0.75262,               0.003466,               0.003466,               0.003466
                     35,                0.05319,                0.98163,                      1,                0.73535,               0.003268,               0.003268,               0.003268
                     36,                0.05707,                0.91429,                      1,                0.80524,                0.00307,                0.00307,                0.00307
                     37,                0.05442,                0.96531,                      1,                0.75012,               0.002872,               0.002872,               0.002872
                     38,                0.05625,                0.97959,                      1,                0.73761,               0.002674,               0.002674,               0.002674
                     39,                0.04942,                0.98776,                      1,                0.73431,               0.002476,               0.002476,               0.002476
                     40,                0.05335,                0.98571,                      1,                0.74719,               0.002278,               0.002278,               0.002278
                     41,                0.05465,                0.98163,                      1,                0.73718,                0.00208,                0.00208,                0.00208
                     42,                0.04953,                0.99184,                      1,                 0.7308,               0.001882,               0.001882,               0.001882
                     43,                0.05431,                 0.9898,                      1,                0.73273,               0.001684,               0.001684,               0.001684
                     44,                 0.0443,                0.98776,                      1,                0.73154,               0.001486,               0.001486,               0.001486
                     45,                0.04714,                 0.9898,                      1,                0.73523,               0.001288,               0.001288,               0.001288
                     46,                0.04092,                0.99388,                      1,                0.72894,                0.00109,                0.00109,                0.00109
                     47,                0.04386,                 0.9898,                      1,                0.72803,               0.000892,               0.000892,               0.000892
                     48,                0.04495,                0.98776,                      1,                0.72873,               0.000694,               0.000694,               0.000694
                     49,                0.04294,                0.98776,                      1,                0.72852,               0.000496,               0.000496,               0.000496
