                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8829,                 3.0979,                 2.2029,                0.66244,                0.80335,                0.78389,                0.43128,                 1.5933,                 1.5344,                 2.0288,               0.070124,              0.0033196,              0.0033196
                      1,                 1.4899,                 1.5227,                  1.739,                0.90492,                0.88616,                0.93947,                0.52734,                 1.5759,                0.89438,                 2.0309,               0.040091,                0.00662,                0.00662
                      2,                 1.4656,                 1.2678,                 1.6735,                0.90405,                0.86819,                0.94028,                0.56116,                 1.4572,                 1.0827,                 1.9306,               0.010025,              0.0098874,              0.0098874
                      3,                 1.4773,                 1.2307,                 1.6886,                0.93668,                0.88374,                0.96217,                0.60083,                  1.389,                0.81859,                 1.8551,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4437,                 1.1196,                 1.6547,                0.94797,                0.93574,                0.96631,                0.59969,                 1.3848,                0.74237,                 1.8443,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4093,                 1.0531,                 1.6167,                0.96355,                0.97215,                 0.9863,                0.60649,                 1.3927,                0.66304,                 1.8632,               0.009802,               0.009802,               0.009802
                      6,                 1.3634,                0.97568,                 1.5786,                0.96999,                0.95041,                0.98742,                0.66113,                 1.2725,                0.62922,                  1.738,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3308,                0.95157,                 1.5641,                0.96955,                0.96994,                0.98557,                0.64856,                 1.2815,                 0.6017,                 1.7316,               0.009703,               0.009703,               0.009703
                      8,                 1.3194,                 0.9311,                 1.5455,                0.95281,                0.97405,                0.98892,                0.64575,                 1.2977,                0.58383,                 1.7567,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.285,                0.87488,                 1.5275,                0.91995,                0.95093,                0.98561,                0.66992,                 1.2022,                0.59872,                 1.6807,               0.009604,               0.009604,               0.009604
                     10,                 1.2486,                0.85573,                 1.4918,                0.97334,                0.97965,                0.99288,                0.69801,                 1.1801,                0.52753,                 1.6408,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2502,                0.83062,                 1.4994,                0.97783,                0.98427,                0.99338,                0.69162,                 1.1751,                0.50349,                 1.6318,               0.009505,               0.009505,               0.009505
                     12,                 1.2453,                 0.8021,                 1.4911,                0.97312,                0.97063,                0.99064,                 0.6871,                 1.2007,                0.52207,                 1.6694,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2216,                0.78394,                  1.467,                0.98945,                0.98187,                0.99208,                0.69396,                 1.1618,                 0.4945,                 1.6306,               0.009406,               0.009406,               0.009406
                     14,                 1.2001,                0.78717,                 1.4586,                0.97723,                0.98069,                0.99379,                0.69052,                 1.1634,                0.48985,                 1.6195,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.189,                 0.7461,                 1.4436,                 0.9928,                0.99196,                0.99482,                0.71216,                 1.1386,                0.44808,                 1.5997,               0.009307,               0.009307,               0.009307
                     16,                 1.1845,                0.75132,                 1.4354,                0.97891,                0.98276,                0.99207,                0.69863,                 1.1721,                0.47929,                 1.6348,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1888,                0.72329,                 1.4404,                0.97774,                0.98515,                0.99291,                0.71051,                 1.1086,                0.47179,                 1.5654,               0.009208,               0.009208,               0.009208
                     18,                 1.1633,                0.72169,                 1.4037,                0.97509,                0.98509,                0.99232,                0.71867,                 1.0906,                0.45349,                 1.5523,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1522,                 0.7097,                 1.4179,                0.99215,                0.99069,                0.99458,                 0.7215,                 1.0912,                0.43605,                 1.5483,               0.009109,               0.009109,               0.009109
                     20,                 1.1314,                0.67279,                 1.3978,                0.98339,                0.98815,                0.99375,                0.72648,                 1.1035,                0.43169,                 1.5708,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.131,                0.67107,                 1.4124,                0.98866,                0.98944,                0.99151,                0.72212,                  1.103,                0.42453,                  1.559,                0.00901,                0.00901,                0.00901
                     22,                   1.11,                0.66547,                 1.3814,                0.98738,                0.99457,                0.99391,                 0.7245,                 1.0977,                  0.431,                 1.5581,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0984,                0.65387,                 1.3809,                 0.9936,                0.99379,                0.99456,                0.73978,                 1.0595,                0.40422,                 1.5206,               0.008911,               0.008911,               0.008911
                     24,                 1.0976,                 0.6515,                 1.3727,                0.98904,                0.99105,                0.99467,                0.73274,                 1.0896,                0.41972,                 1.5593,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0781,                 0.6215,                 1.3568,                0.99253,                0.99649,                0.99471,                0.73868,                 1.0386,                0.39649,                 1.5074,               0.008812,               0.008812,               0.008812
                     26,                 1.0955,                0.64537,                 1.3578,                 0.9939,                0.99336,                0.99456,                0.74017,                 1.0695,                0.40342,                 1.5357,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0798,                 0.6541,                 1.3631,                0.98956,                0.99327,                0.99405,                0.72689,                 1.1021,                0.42685,                 1.5707,               0.008713,               0.008713,               0.008713
                     28,                 1.0775,                0.63875,                 1.3589,                 0.9924,                0.99621,                0.99475,                0.73569,                 1.0398,                0.40086,                  1.509,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0688,                0.63126,                 1.3528,                0.99095,                0.99345,                0.99376,                 0.7303,                 1.0669,                0.41042,                 1.5269,               0.008614,               0.008614,               0.008614
                     30,                 1.0427,                0.59863,                 1.3411,                0.98813,                0.99698,                0.99461,                0.75266,                 1.0308,                0.38947,                 1.4991,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0542,                0.60489,                  1.348,                0.98794,                0.98826,                0.99405,                0.74621,                 1.0366,                0.40016,                  1.503,               0.008515,               0.008515,               0.008515
                     32,                   1.05,                0.60988,                 1.3484,                0.98695,                0.99668,                0.99349,                0.74442,                 1.0518,                 0.3956,                 1.5308,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0311,                0.60054,                 1.3307,                0.98771,                0.99502,                0.99453,                0.75375,                 1.0317,                0.38722,                 1.5059,               0.008416,               0.008416,               0.008416
                     34,                 1.0282,                0.58201,                 1.3247,                0.98965,                0.99712,                0.99429,                0.74636,                 1.0438,                0.37181,                  1.512,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0167,                0.58755,                 1.3247,                0.96981,                0.99374,                0.99381,                0.74544,                 1.0483,                0.41541,                 1.5237,               0.008317,               0.008317,               0.008317
                     36,                 1.0178,                0.57297,                 1.3094,                0.99325,                0.99776,                0.99464,                0.74784,                  1.027,                0.38224,                 1.4911,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0064,                0.57183,                 1.3065,                0.99277,                0.99603,                0.99301,                0.75347,                 1.0308,                0.38412,                  1.509,               0.008218,               0.008218,               0.008218
                     38,                   1.01,                 0.5706,                 1.3251,                0.99609,                0.99776,                0.99433,                0.75384,                 1.0236,                0.36859,                 1.4961,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0175,                0.57552,                 1.3183,                0.99484,                0.99179,                0.99428,                0.74107,                 1.0281,                0.37654,                  1.489,               0.008119,               0.008119,               0.008119
                     40,                0.99145,                0.56998,                 1.2993,                 0.9947,                0.99663,                0.99435,                0.76102,                 1.0077,                0.36601,                 1.4743,              0.0080695,              0.0080695,              0.0080695
                     41,                0.99132,                0.55824,                 1.2993,                0.98923,                0.99397,                0.99329,                0.76045,                 1.0025,                0.37599,                 1.4819,                0.00802,                0.00802,                0.00802
                     42,                0.99684,                0.55613,                 1.2969,                0.98578,                0.99548,                0.99441,                0.74909,                  1.019,                0.37663,                 1.4884,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97798,                0.53899,                 1.3016,                 0.9971,                0.99241,                0.99474,                0.74552,                 1.0291,                 0.3681,                 1.5019,               0.007921,               0.007921,               0.007921
                     44,                0.98578,                0.54996,                   1.29,                0.98943,                0.99557,                0.99431,                 0.7422,                 1.0418,                0.36988,                 1.5052,              0.0078715,              0.0078715,              0.0078715
                     45,                0.97042,                 0.5309,                 1.2839,                0.99399,                0.99718,                0.99416,                0.75486,                  1.019,                0.37169,                 1.5063,               0.007822,               0.007822,               0.007822
                     46,                0.97544,                0.52354,                 1.2834,                0.99361,                0.99744,                0.99432,                0.75887,                 0.9946,                0.35978,                 1.4662,              0.0077725,              0.0077725,              0.0077725
