                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7912,                 3.4605,                 2.0518,                0.47864,                0.42375,                0.46243,                0.24667,                 1.5367,                  2.811,                  2.036,               0.070248,              0.0033058,              0.0033058
                      1,                  1.553,                 2.2295,                 1.7455,                0.77957,                0.74026,                0.81988,                0.43337,                   1.65,                 1.9214,                 2.1562,               0.040215,              0.0066063,              0.0066063
                      2,                 1.5304,                 1.8558,                 1.6982,                0.84498,                0.79537,                0.87776,                0.46518,                 1.6568,                 1.5716,                 2.1362,               0.010149,              0.0098737,              0.0098737
                      3,                 1.5229,                 1.7051,                 1.7085,                0.74799,                0.84431,                0.89544,                0.49039,                 1.6266,                 1.5219,                 2.1172,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4758,                  1.524,                 1.6566,                 0.5383,                0.60742,                0.57316,                0.24373,                 1.9049,                 2.1792,                 2.4632,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4348,                 1.3703,                 1.6277,                0.94861,                0.90528,                0.95965,                0.57829,                 1.4419,                 1.0337,                 1.9007,               0.009802,               0.009802,               0.009802
                      6,                 1.3881,                 1.2567,                   1.58,                0.87622,                0.90613,                0.95898,                0.59497,                 1.3659,                 1.0628,                 1.8313,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3834,                 1.1978,                 1.5593,                0.91154,                0.91593,                0.96138,                0.61824,                 1.3404,                0.84317,                 1.8274,               0.009703,               0.009703,               0.009703
                      8,                 1.3425,                 1.1133,                 1.5237,                0.95506,                0.93451,                0.98074,                0.63136,                 1.2879,                0.86013,                 1.7526,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3148,                 1.0501,                 1.5201,                0.95634,                0.95727,                0.97702,                0.62909,                 1.3206,                0.76681,                 1.7783,               0.009604,               0.009604,               0.009604
                     10,                 1.3104,                 1.0241,                  1.506,                0.95198,                0.97423,                 0.9804,                0.63673,                 1.3374,                0.74293,                 1.7875,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2775,                0.96829,                 1.4939,                0.88385,                0.90731,                0.93898,                 0.6157,                 1.3257,                0.80813,                 1.7748,               0.009505,               0.009505,               0.009505
                     12,                 1.2871,                0.94741,                 1.4994,                0.90865,                0.88903,                 0.9613,                0.53904,                 1.6584,                0.89325,                 2.0233,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2697,                0.91248,                  1.469,                0.94848,                0.95293,                0.97002,                0.65661,                  1.254,                0.71671,                 1.6886,               0.009406,               0.009406,               0.009406
                     14,                 1.2451,                0.91178,                 1.4547,                0.97448,                0.98129,                 0.9907,                0.66925,                 1.2293,                0.65315,                 1.6918,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2309,                0.86679,                 1.4495,                0.87736,                0.89772,                 0.9569,                 0.6129,                 1.3589,                0.76692,                 1.8112,               0.009307,               0.009307,               0.009307
                     16,                 1.2306,                0.85762,                  1.449,                0.92284,                0.91469,                0.97593,                0.66367,                 1.2568,                0.74994,                 1.6998,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2206,                0.84424,                 1.4471,                0.96881,                0.97672,                0.98844,                0.67176,                 1.2171,                0.58214,                 1.6534,               0.009208,               0.009208,               0.009208
                     18,                 1.1935,                0.80158,                 1.4146,                0.96828,                0.92908,                0.98321,                0.68322,                 1.1848,                0.58626,                 1.6407,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1792,                0.79024,                 1.4134,                0.95648,                0.95372,                0.98526,                0.66959,                 1.2245,                0.61212,                 1.6649,               0.009109,               0.009109,               0.009109
                     20,                  1.187,                0.78818,                 1.4181,                0.96936,                0.97834,                0.98952,                0.66427,                 1.2787,                0.60173,                   1.71,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1608,                  0.771,                  1.409,                0.97572,                0.99171,                0.99283,                0.70031,                 1.1802,                0.52464,                 1.6309,                0.00901,                0.00901,                0.00901
                     22,                 1.1824,                0.77801,                 1.4089,                0.95968,                0.97825,                0.99203,                 0.7008,                 1.1396,                0.55866,                 1.5837,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1517,                0.75313,                 1.3958,                0.98994,                0.98856,                0.99441,                0.71367,                 1.0843,                 0.4951,                  1.547,               0.008911,               0.008911,               0.008911
                     24,                 1.1521,                  0.727,                 1.3923,                 0.9686,                0.98502,                0.99279,                0.69335,                 1.1566,                 0.5237,                 1.6011,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1262,                0.71999,                 1.3707,                0.97741,                0.96069,                0.98944,                 0.6743,                 1.2142,                0.56826,                 1.6534,               0.008812,               0.008812,               0.008812
                     26,                  1.139,                 0.7268,                 1.3759,                 0.9814,                0.98189,                0.99337,                0.69743,                 1.1633,                0.52951,                 1.6205,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1235,                0.71921,                 1.3746,                0.98857,                0.99338,                0.99461,                 0.7086,                 1.1242,                0.47364,                 1.5646,               0.008713,               0.008713,               0.008713
                     28,                 1.1257,                  0.713,                  1.378,                 0.9812,                0.99412,                0.99481,                0.71624,                 1.0806,                0.46953,                 1.5316,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1209,                  0.704,                 1.3706,                0.98757,                0.98824,                0.99351,                0.71845,                 1.1055,                0.48501,                 1.5531,               0.008614,               0.008614,               0.008614
                     30,                  1.113,                0.68816,                 1.3716,                0.99171,                0.98764,                0.99208,                 0.7027,                 1.1278,                0.48999,                 1.5714,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1067,                0.68668,                 1.3559,                0.98081,                0.98527,                0.99356,                0.71789,                 1.1455,                0.49131,                 1.6004,               0.008515,               0.008515,               0.008515
                     32,                 1.0942,                0.67867,                 1.3595,                0.98143,                0.99068,                0.99449,                0.71607,                 1.1059,                0.48175,                 1.5736,              0.0084655,              0.0084655,              0.0084655
